No,Type,Title,Date,Eligibility,Details,Website,Cost
1,Biology Competitions,"International Biology Olympiad (IBO)","Annually in July","High school students (usually after national selection)","Premier global competition testing theoretical and practical biology knowledge","https://www.iboinfo.org","Travel and participation costs may vary"
2,Biology Competitions,"BioGENEius Challenge","Annually (finals in June)","High school students","Biotechnology competition focusing on original research projects","https://www.biogeniuschallenge.org","Free"
3,Biology Competitions,"USA Biology Olympiad (USABO)","Annually (registration in November, exams in February)","U.S. high school students","National competition leading to selection for the IBO","https://www.usabotrc.org","Registration fee varies"
4,Biology Competitions,"British Biology Olympiad (BBO)","Annually (exams in March)","High school students in the UK","National competition leading to selection for the IBO","https://www.biologyolympiad.org.uk/","Registration fee varies"
5,Biology Competitions,"Australian Biology Olympiad","Annually (exams in August)","Australian high school students","National competition leading to selection for the IBO","https://www.asi.edu.au/programs/biology/","Registration fee varies"
6,Biology Competitions,"Canadian Biology Olympiad (CBO)","Annually (exams in March)","Canadian high school students","National competition leading to selection for the IBO","https://www.canadianbiologyolympiad.ca","Registration fee varies"
7,Biology Competitions,"Hong Kong Biology Olympiad","Annually (exams in November)","High school students in Hong Kong","National competition leading to selection for the IBO","https://www.hkage.org.hk","Registration fee varies"
8,Biology Competitions,"Singapore Biology Olympiad (SBO)","Annually (exams in December)","High school students in Singapore","National competition leading to selection for the IBO","https://www.sbo.sg","Registration fee varies"
9,Biology Competitions,"European Union Science Olympiad (EUSO)","Annually (competition in April)","Teams of high school students from EU countries","Multidisciplinary competition including biology","https://www.euso.eu","Covered by national bodies"
10,Biology Competitions,"Asia-Pacific Economic Cooperation (APEC) Youth Science Festival","Annually (dates vary)","High school students from APEC member economies","Science fair including biology projects","https://www.apec.org","Travel and participation costs vary"
11,Biology Competitions,"Genius Olympiad","Annually in June","High school students","International project competition on environmental issues including biology","https://geniusolympiad.org","Registration and participation fee"
12,Biology Competitions,"International Science and Engineering Fair (ISEF)","Annually in May","High school students","One of the largest international pre-college science competitions, includes biology","https://www.societyforscience.org/isef/","Varies, scholarships available"
13,Biology Competitions,"European Union Contest for Young Scientists (EUCYS)","Annually in September","Students aged 14-20 from EU countries","Prestigious contest showcasing original research including biology","https://eucys.eu","Covered by national bodies"
14,Biology Competitions,"International Conference of Young Scientists (ICYS)","Annually in April","High school students","Research competition in various sciences including biology","https://icys2020.hu","Varies, scholarships available"
15,Biology Competitions,"China Adolescents Science and Technology Innovation Contest (CASTIC)","Annually in August","High school students","Major Chinese science competition including biology projects","http://www.cyscc.org.cn","Covered by Chinese national bodies"
16,Biology Competitions,"Biology Challenge","Annually in March","Students aged 13-15","UK-based competition testing biological knowledge","https://www.biologychallenge.org.uk/","Registration fee varies"
17,Biology Competitions,"International Earth Science Olympiad (IESO)","Annually in August","High school students (usually after national selection)","Multidisciplinary science competition including biology","https://www.iesoinfo.org","Covered by national bodies"
18,Biology Competitions,"Global Natural History Day (GNHD)","Annually (finals in July)","Students aged 7-18","Research and presentation competition focusing on natural history","https://www.gnhdonline.org","Varies"
19,Biology Competitions,"Japan International Science and Mathematics Olympiad (JISMO)","Annually (finals in December)","High school students","Multidisciplinary competition including biology","https://www.jismo.org","Registration fee varies"
20,Biology Competitions,"International Science Youth Forum (ISYF)","Annually in January","High school students","Conference and competition in various sciences including biology","https://www.isyf.org","Registration fee and travel costs"
21,Biology Competitions,"Toshiba/NSTA ExploraVision","Annually (submission deadline in February)","Students in grades K-12","Research competition on future technological solutions, includes biology","https://www.exploravision.org","Free"
22,Biology Competitions,"National BioGENEius Challenge","Annually (submission deadline in March)","High school students","Biotechnology research competition","https://www.biogenius.org","Free"
23,Biology Competitions,"International Medicine Olympiad (IMDO)","Annually in August","High school students","Focuses on medical science and biology","https://www.imdo.us","Registration fee varies"
24,Biology Competitions,"First Step to Nobel Prize in Physics","Annually (submission deadline in January)","High school students","International competition for high school research papers, includes biology-related projects","http://www.ifpan.edu.pl/firststep/","Free"
25,Biology Competitions,"Beckman Symposium","Annually in August","High school and undergraduate students","Research competition in life sciences","https://www.beckmanfoundation.org","Covered by foundation"
26,Biology Competitions,"International Sustainable World (Energy, Engineering, and Environment) Project Olympiad (ISWEEEP)","Annually in May","High school students","Competition for projects in energy, engineering, and environment, including biology","https://www.isweeep.org","Registration fee varies"
27,Biology Competitions,"Regeneron Science Talent Search","Annually (submission deadline in November)","U.S. high school seniors","Prestigious science research competition, includes biology","https://www.societyforscience.org/regeneron-sts/","Free"
28,Biology Competitions,"Google Science Fair","Annually (submission deadline in December)","Students aged 13-18","Online science competition including biology","https://www.googlesciencefair.com","Free"
29,Biology Competitions,"Siemens Competition in Math, Science & Technology","Annually (submission deadline in September)","U.S. high school students","Prestigious research competition including biology","https://www.siemensfoundation.org","Free"
30,Biology Competitions,"Brain Bee","Annually (national finals in spring)","High school students","Neuroscience competition for students interested in brain science","https://www.thebrainbee.org","Free"
31,Biology Competitions,"Science Olympiad","Varies by region (usually during the school year)","Middle and high school students","Team-based competition covering various scientific disciplines, including biology","https://www.soinc.org","Registration fee varies"
32,"Biology Competitions","Research Science Institute (RSI)","Summer program (6 weeks)","High school juniors","Prestigious summer research program in various sciences, including biology, held at MIT","https://www.cee.org/researchscienceinstitute","Free (all expenses covered)"
33,"Biology Competitions","Jackson Laboratory Summer Student Program","Summer program (10 weeks)","High school and undergraduate students","Research internship in genetics and genomics","https://www.jax.org/educationandlearning/highschoolstudentsandundergraduates","Stipend provided"
34,"Biology Competitions","Simons Summer Research Program","Summer program (7 weeks)","High school juniors","Research program at Stony Brook University focusing on life sciences","https://www.stonybrook.edu/commcms/simons/index.html","Free (housing and meals provided)"
