No,Title,Date,Eligibility,Details,Website
1,"National Institute of American History & Democracy (NIAHD) PreCollege Program","Summer","High school students","Focuses on American history, government, and economics, held at the College of William & Mary.","https://www.wm.edu/as/niahd/precollegiatesummer/index.php"
2,"Economics for Leaders (EFL) Program","Summer","High school students","Develops leadership skills and economic understanding.","https://www.fte.org/students/economicsforleadersprogram/"
3,"Junior Statesmen of America (JSA) Summer School","Summer","High school students","Offers courses in political science, government, and economics.","https://jsa.org/summerprograms"
4,"Harvard PreCollege Program","Summer","High school students","Offers courses in politics, economics, and law.","https://summer.harvard.edu/highschoolprograms/precollegeprogram/"
5,"Stanford PreCollegiate Summer Institutes","Summer","High school students","Intensive courses in political science, economics, and law.","https://spcs.stanford.edu"
6,"Georgetown University Summer Programs for High School Students","Summer","High school students","Courses in politics, law, and economics.","https://summer.georgetown.edu"
7,"Oxbridge Academic Programs","Summer","High school students","Summer programs in Oxford, Cambridge, and other locations with courses in politics, law, and economics.","https://www.oxbridgeprograms.com"
8,"Columbia University Summer Immersion Programs","Summer","High school students","Courses in political science, economics, and international relations.","https://precollege.sps.columbia.edu/highschool"
9,"Yale Young Global Scholars (YYGS)","Summer","High school students","Sessions in politics, law, and economics.","https://globalscholars.yale.edu"
10,"London School of Economics (LSE) Summer School","Summer","Undergraduate and high school students","Courses in economics, law, and political science.","https://www.lse.ac.uk/studyatlse/SummerSchools/SummerSchool"
11,"Tata Institute of Social Sciences (TISS) Summer Internship Programme","Summer","Undergraduate and postgraduate students","Hands-on experience in social sciences, policy, and law.","https://www.tiss.edu"
12,"Ashoka University Young Scholars Programme (YSP)","Summer","High school students","Week-long interdisciplinary program including courses on politics and economics.","https://www.ashoka.edu.in"
13,"Princeton University Summer Journalism Program","Summer","High school juniors from low-income backgrounds","Intensive journalism and politics program.","https://psjp.princeton.edu"
14,"Duke University PreCollege Programs","Summer","Middle and high school students","Courses in law, politics, and economics.","https://law.duke.edu/summerinstitutes/lawpolicy/"
15,"International Public Policy Forum (IPPF) Debate Competition","Annual, with final rounds typically in April","High school students globally","A unique debate competition where teams write essays on public policy topics and later engage in oral debates. Sponsored by the Bickel & Brewer Foundation and NYU.","https://www.ippfdebate.com"
16,"World Scholar's Cup","Regional rounds throughout the year; Global Round and Tournament of Champions usually in the summer and fall","Middle and high school students worldwide","A team-based academic competition that includes debate, collaborative writing, and quizzes on various subjects including politics, economics, and history.","https://www.scholarscup.org"
17,"European Union Science Olympiad (EUSO)","Annually in spring","High school students from EU countries (but some exceptions are made for international schools in Europe)","A multidisciplinary science competition with a focus on real-world applications, including topics related to economics and policy.","http://euso.eu/"
18,"International Geography Olympiad (iGeo)","Annually in August","High school students worldwide","A competition testing geographic knowledge, including elements of economic geography, and policy implications.","https://www.geoolympiad.org"
