No.,Type,Title,Date,Eligibility,Details,Website,Cost
1,"Computer Science extracurricular and competitions","American Collegiate Programming Contest (ACPC)","Regionals: December 2023-January 2024; World Finals: May 2024","Open to all undergraduate students","Team competition in which teams of three students solve programming problems within a set time limit.", https://www.acsl.org, null
2,"Computer Science extracurricular and competitions","International Collegiate Programming Contest (ICPC)","Regionals: October-November 2023; World Finals: April 2024","Open to all undergraduate students","Team competition similar to the ACPC, but with a more challenging problem set.", https://icpc.global, null
3,"Computer Science extracurricular and competitions","USA Computing Olympiad (USACO)","December 2023-February 2024","Open to all high school students in the United States","Individual competition in which students solve programming problems within a set time limit.", http://www.usaco.org, null
4,"Computer Science extracurricular and competitions","Google Code Jam","January-April 2024","Open to all ages","Individual online coding competition in which contestants solve programming problems within a set time limit.", https://codingcompetitionsonair.withgoogle.com, null
5,"Computer Science extracurricular and competitions","Facebook Hacker Cup","February-March 2024","Open to all ages","Individual online coding competition in which contestants solve programming problems within a set time limit.", https://www.facebook.com/codingcompetitions/hackercup, null
6,"Computer Science extracurricular and competitions","TopCoder Open","March-June 2024","Open to all ages","Individual online coding competition in which contestants solve programming problems within a set time limit.", https://www.topcoder.com, null
7,"Computer Science extracurricular and competitions","International Olympiad in Informatics (IOI)","July-August 2024","Open to high school students from around the world","Individual competition in which students solve programming problems within a set time limit.", https://ioinformatics.org, null
8,"Computer Science extracurricular and competitions","Imagine Cup","June-August 2024","Open to all students, ages 16-25","Global competition in which teams of students develop innovative technology solutions to real-world problems.", https://imaginecup.microsoft.com, null
9,"Computer Science extracurricular and competitions","Congressional App Challenge","September 2023-March 2024","Open to all high school students in the United States","Competition in which students develop and submit original software applications for mobile, desktop, and web platforms.", https://www.congressionalappchallenge.us, null
10,"Computer Science extracurricular and competitions","CyberPatriot National Youth Cyber Defence Program","October-May 2023-2024","Open to all high school students in the United States","Competition in which teams of students defend a virtual network from cyberattacks.", https://www.uscyberpatriot.org, null
11,"Computer Science extracurricular and competitions","RoboRAVE","April-August 2024","Open to students in grades K-12","Competition in which students design, build, and program autonomous robots to complete various challenges.", https://roboraveinternational.org, null
12,"Computer Science extracurricular and competitions","Technovation Challenge","January-June 2024","Open to girls in grades 9-12","Competition in which girls develop technology solutions to address real-world problems in their communities.", https://technovationchallenge.org, null
13,"Computer Science extracurricular and competitions","Google Hash Code","February 2024","Open to all ages","Team competition in which teams of 2-4 students solve programming problems related to engineering and product development.", https://codingcompetitions.withgoogle.com/hashcode, null
14,"Computer Science extracurricular and competitions","Meta Hack","March 2024","Open to all ages","Team competition in which teams of 3-10 students solve programming problems related to artificial intelligence, machine learning, and other cutting-edge technologies.", https://www.facebook.com/codingcompetitions/hackercup, null
15,"Computer Science extracurricular and competitions","Major League Hacking (MLH) Hackathons","Year-round","Open to all ages","MLH hosts hackathons all over the world, with a focus on building and launching innovative products.", https://mlh.io, null
