Country,Scholarship Name,Description
US,Fulbright Foreign Student Program,"Perhaps the most popular government-fundedUS scholarships for international students, Fulbright offers scholarships for graduatestudents, young professionals and artists to study in the US for one year or more. Opento international students in all fields excluding medicine."
US,Hubert Humphrey Fellowship Program,"This is a non-degree scholarship program forinternational, experienced professionals wishing to undertake 10 months of academicstudy in the US. Although the funding doesn’t support degree qualifications, students areable to study and develop their knowledge at academic institutions across the nation."
US,Abbey Road Summer Scholarships,"Abbey Road are offering US scholarships worthUS$1,000 for language and art students, as well as US$500 fellowships for “summerenrichment” at institutions within the states."
US,Civil Society Leadership Awards,Fully-funded scholarships are available for studentsfrom eligible countries to study in the US or another host country at master’s level.
US,The Next Gen Scholarship Fund,"Scholarships to study in the US for non-residentsand international students. Applicants must have at least a 3.0 GPA (grade point average)and be enrolled on a program at an accredited university within Washington DC, Marylandor Virginia. Worth US$1,000."
US,Tortuga Backpacks Study Abroad Scholarship,"Awarded twice a year to passionateinternational students wishing to study in the US. Worth US$1,000."
US,David P. Shapiro Autism Scholarship,"A one-time scholarship worth US$1,000 opento current or prospective students in the US diagnosed with autism."
US,"Preply Scholarship Three winners will receive an award of up to $2,000. Open to all","students (domestic and international, and at any study level) aged between 16 and 35.To enter, you'll need to submit a 500-word essay on “The importance of multilingualismto personal and professional development”."
US,East-West Center Scholarships and Fellowships,"Scholarships to study in the USwithin selected institutions, aimed at international students from the Asia-Pacific region."
US,Wesleyan Freeman Asian Scholarship Program,Scholarships for 11 exceptionalAsian students to study in the US at Wesleyan University in Connecticut. Covers the fullcost of tuition and student fees.
US,Rotary Peace Fellowships,Scholarships to study in the US awarded to master’s degreestudents studying within one of Rotary’s Peace Centers (such as at Duke University orthe University of North Carolina at Chapel Hill).
US,American University Emerging Global Leader Scholarship,Undergraduatescholarships to study in the US at American University in Washington DC. Aimed atinternational students who are showing leadership potential.
US,Brandeis University Wien International Scholarship Program,Funding opportunityfor high-achieving students with an interest in student community contribution.
US,Clark University Global Scholars Program,"Scholarships of no less than US$10,000as well as a guaranteed $2,500 taxable stipend for a paid internship are available for firstyear international applicants."
US,Emory University Needs-Based Scholarship Program,Funding opportunities forinternational students at Emory University. Students must demonstrate financial need.
US,Harvard University Scholarships,Harvard offers a range of (very competitive)international scholarships for students from all over the globe.
US,Illinois State University International Awards,"Illinois State offers tuition waivers, meritawards and graduate assistantships to incoming international students."
US,Iowa State University International Merit Scholarships,Merit-based scholarshipprogram for high-achieving international students.
US,Michigan State University International Scholarships,Various grants andscholarships for international students to study in the US at MSU.
US,New York University Wagner International Scholarships,US scholarships to studyat NYU Wagner Graduate School of Public Service.
US,University of Arkansas International Scholarships,Funding opportunities forinternational students of varying backgrounds and nationalities.
US,University of Iowa Scholarships for International First Year Students,Variousscholarships for international students starting their first year in Autumn 2017.
US,University of Minnesota International Excellence Scholarships,Two scholarships ofdiffering amounts allocated to international full-time students at UM.
US,University of Oregon International Scholarships,"US scholarships to study at theUniversity of Oregon, aimed at international students from around the world."
Canada ,Banting Postdoctoral Fellowships,Canadian government scholarships and fellowshipsoffered to international students undertaking postgraduate study within the natural andsocial sciences or health research.
Canada ,Canada Graduate Scholarships,Master’s Programstudents enrolled on a master’s degree or PhD at a (CGS-M allocated) university inCanada.
Canada ,IDRC Research Awards,Canadian government scholarships for students fromdeveloping countries to undertake a master’s or doctoral-level research degree at arecognized Canadian university.
